Numberrange,USN,Name,Branch
41,1BM20ME041,Rowan Cook,Mech,1
69,1BM20ME069,Skyler Perry,Mech,2
31,1BM20IS031,Aline Hines,Information Science,3
56,1BM20ME056,Robin James,Mech,4
3,1BM20ME003,Riley Smith,Mech,5
87,1BM20IS087,Stewart Terry,Information Science,6
28,1BM20IS028,Pamela Butler,Information Science,7
2,1BM20IS002,Serina Avery,Information Science,8
59,1BM20ME059,Reagan Kelly,Mech,9
38,1BM20IS038,Hilary Atkins,Information Science,10
16,1BM20ME016,Quinn Allen,Mech,11
91,1BM20IS091,Rhonda Koch,Information Science,12
46,1BM20IS046,Cain Tanner,Information Science,13
40,1BM20IS040,Karleigh Walter,Information Science,14
72,1BM20ME072,Avery Patterson,Mech,15
82,1BM20ME082,Quinn Russell,Mech,16
16,1BM20IS016,Colby Malone,Information Science,17
58,1BM20ME058,Kendall Brooks,Mech,18
6,1BM20IS006,Guinevere Blankenship,Information Science,19
55,1BM20IS055,Larissa Delgado,Information Science,20
7,1BM20IS007,Ali Fischer,Information Science,21
80,1BM20IS080,Courtney Winters,Information Science,22
73,1BM20ME073,Morgan Hughes,Mech,23
48,1BM20ME048,Jordan Richardson,Mech,24
5,1BM20ME005,Taylor Davis,Mech,25
35,1BM20IS035,Nomlanga Banks,Information Science,26
15,1BM20ME015,Reagan Hall,Mech,27
80,1BM20ME080,Kendall Bryant,Mech,28
36,1BM20ME036,Kendall Stewart,Mech,29
79,1BM20IS079,Joshua Kerr,Information Science,30
94,1BM20IS094,Aiko Doyle,Information Science,31
79,1BM20ME079,Harper Gonzales,Mech,32
65,1BM20ME065,Casey Ross,Mech,33
49,1BM20ME049,Taylor Cox,Mech,34
1,1BM20ME001,Shaeleigh Reed,Mech,35
75,1BM20IS075,Kelly Beard,Information Science,36
31,1BM20ME031,Peyton Campbell,Mech,37
3,1BM20IS003,Emily Logan,Information Science,38
34,1BM20IS034,Alma Lyons,Information Science,39
93,1BM20IS093,Risa Kelley,Information Science,40
