Numberrange,USN,Name,Branch
20,1BM21CV020,Cameron Green,Civil,1
41,1BM21CV041,Rowan Cook,Civil,2
40,1BM21CV040,Sawyer Reed,Civil,3
56,1BM21CV056,Robin James,Civil,4
27,1BM21CV027,Taylor Perez,Civil,5
37,1BM21CV037,Reagan Sanchez,Civil,6
30,1BM21CV030,Casey Phillips,Civil,7
31,1BM21CV031,Peyton Campbell,Civil,8
57,1BM21CV057,Harper Watson,Civil,9
32,1BM21CV032,Bailey Parker,Civil,10
60,1BM21CV060,Quinn Sanders,Civil,11
77,1BM20ME077,Jamie Simmons,Mech,12
38,1BM21CV038,Quinn Morris,Civil,13
64,1BM20ME064,Cameron Barnes,Mech,14
22,1BM20ME022,Parker Baker,Mech,15
94,1BM20ME094,Avery Stone,Mech,16
19,1BM20ME019,Rowan Wright,Mech,17
2,1BM21CV002,Avery Johnson,Civil,18
34,1BM21CV034,Robin Edwards,Civil,19
48,1BM21CV048,Jordan Richardson,Civil,20
12,1BM21CV012,Robin Lewis,Civil,21
24,1BM21CV024,Dakota Nelson,Civil,22
34,1BM20ME034,Robin Edwards,Mech,23
6,1BM20ME006,Morgan Wilson,Mech,24
86,1BM20ME086,Cameron Myers,Mech,25
53,1BM20ME053,Peyton Peterson,Mech,26
28,1BM20ME028,Avery Roberts,Mech,27
42,1BM21CV042,Cameron Morgan,Civil,28
57,1BM20ME057,Harper Watson,Mech,29
55,1BM20ME055,Jamie Ramirez,Mech,30
47,1BM21CV047,Skyler Cooper,Civil,31
29,1BM20ME029,Morgan Turner,Mech,32
89,1BM20ME089,Riley Graham,Mech,33
39,1BM20ME039,Finley Rogers,Mech,34
46,1BM21CV046,Dakota Rivera,Civil,35
8,1BM20ME008,Peyton Garcia,Mech,36
25,1BM20ME025,Skyler Carter,Mech,37
74,1BM20ME074,Casey Flores,Mech,38
84,1BM20ME084,Sawyer Diaz,Mech,39
88,1BM20ME088,Parker Hamilton,Mech,40
