Numberrange,USN,Name,Branch
53,1BM20CS053,Jin Finch,Computer Science,1
39,1BM20CS039,Danielle Rogers,Computer Science,2
18,1BM20CS018,Deacon Fernandez,Computer Science,3
62,1BM20CS062,Regan Gibbs,Computer Science,4
49,1BM20CS049,Jesse Scott,Computer Science,5
4,1BM20CS004,Gretchen Albert,Computer Science,6
31,1BM20CS031,Emerson Vasquez,Computer Science,7
2,1BM20CS002,Ursula Buckley,Computer Science,8
70,1BM20CS070,Maggie Phelps,Computer Science,9
50,1BM20CS050,Velma Anderson,Computer Science,10
20,1BM20CS020,Lucas Boyle,Computer Science,11
39,1BM20AI039,Colt Workman,Artificial Intelligence,12
67,1BM20AI067,Erich Adams,Artificial Intelligence,13
37,1BM20AI037,Ezra Dyer,Artificial Intelligence,14
3,1BM20AI003,Tasha Kemp,Artificial Intelligence,15
36,1BM20AI036,Akeem Byers,Artificial Intelligence,16
41,1BM20AI041,Lucius Galloway,Artificial Intelligence,17
28,1BM20AI028,September Bryant,Artificial Intelligence,18
