Numberrange,USN,Name,Branch
32,1BM20CS032,Kieran Mcbride,Computer Science,1
15,1BM20CS015,Melvin Hubbard,Computer Science,2
88,1BM20CS088,Venus Greene,Computer Science,3
45,1BM20CS045,Maite Briggs,Computer Science,4
61,1BM20CS061,Lynn Burke,Computer Science,5
33,1BM20CS033,Beck Wise,Computer Science,6
5,1BM20CS005,Darryl Erickson,Computer Science,7
28,1BM20CS028,Dominic Grimes,Computer Science,8
58,1BM20CS058,Fletcher Franks,Computer Science,9
84,1BM20CS084,Fitzgerald Hoover,Computer Science,10
87,1BM20CS087,Jessamine Moon,Computer Science,11
3,1BM20CS003,John Santana,Computer Science,12
41,1BM20CS041,Clio Avery,Computer Science,13
66,1BM20CS066,Graiden Lynn,Computer Science,14
64,1BM20CS064,Dorothy Gomez,Computer Science,15
56,1BM20CS056,Kibo Livingston,Computer Science,16
42,1BM20CS042,Jin Fischer,Computer Science,17
8,1BM20CS008,Lucian Buckner,Computer Science,18
54,1BM20CS054,David Barnes,Computer Science,19
77,1BM20CS077,Shoshana Mcbride,Computer Science,20
59,1BM20IS059,Colt Walton,Information Science,21
33,1BM20IS033,Josephine Atkinson,Information Science,22
50,1BM20IS050,Vance Cameron,Information Science,23
88,1BM20IS088,Gil Bryant,Information Science,24
78,1BM20IS078,Colby Clements,Information Science,25
8,1BM20IS008,Jeremy Reilly,Information Science,26
67,1BM20IS067,August Harper,Information Science,27
23,1BM20IS023,Vincent Chang,Information Science,28
90,1BM20IS090,Trevor Ferrell,Information Science,29
37,1BM20IS037,Thane Witt,Information Science,30
13,1BM20CS013,Alice Roberson,Computer Science,31
23,1BM20CS023,Odysseus Tate,Computer Science,32
70,1BM20AI070,Diana Mcpherson,Artificial Intelligence,33
17,1BM20AI017,Fredericka Lott,Artificial Intelligence,34
93,1BM20CS093,Fay Butler,Computer Science,35
46,1BM20CS046,Serena Holman,Computer Science,36
46,1BM20AI046,Elijah Ware,Artificial Intelligence,37
82,1BM20CS082,Cecilia Ford,Computer Science,38
74,1BM20AI074,Hillary Young,Artificial Intelligence,39
9,1BM20CS009,Addison Mcmahon,Computer Science,40
