Numberrange,USN,Name,Branch
66,1BM20AI066,Emmanuel Stevenson,Artificial Intelligence,1
59,1BM20AI059,Chava Blair,Artificial Intelligence,2
22,1BM20AI022,Lee Orr,Artificial Intelligence,3
12,1BM20AI012,Garth Ward,Artificial Intelligence,4
82,1BM20AI082,Sydnee Hayes,Artificial Intelligence,5
44,1BM20AI044,Jenna Hale,Artificial Intelligence,6
20,1BM20AI020,Sierra Rodgers,Artificial Intelligence,7
15,1BM20AI015,Xenos Morales,Artificial Intelligence,8
30,1BM20AI030,Amy Deleon,Artificial Intelligence,9
24,1BM20AI024,Rinah Stuart,Artificial Intelligence,10
8,1BM20AI008,Clark Griffin,Artificial Intelligence,11
69,1BM20AI069,Lila Sampson,Artificial Intelligence,12
13,1BM20AI013,Price Meyers,Artificial Intelligence,13
94,1BM20AI094,Rebekah Dickerson,Artificial Intelligence,14
92,1BM20AI092,Emery Bradford,Artificial Intelligence,15
6,1BM20AI006,Jason Rogers,Artificial Intelligence,16
96,1BM20AI096,Hadassah Reed,Artificial Intelligence,17
40,1BM20AI040,Shad Wooten,Artificial Intelligence,18
62,1BM21CV062,Sawyer Bennett,Civil,19
58,1BM20AI058,Christine Wilkinson,Artificial Intelligence,20
90,1BM20AI090,Isabelle Knight,Artificial Intelligence,21
54,1BM21CV054,Bailey Gray,Civil,22
30,1BM20CS030,Dalton Benson,Computer Science,23
44,1BM20CS044,Francis Vang,Computer Science,24
94,1BM20CS094,Diana Keller,Computer Science,25
81,1BM20CS081,Kylynn Reed,Computer Science,26
74,1BM20CS074,Briar Bradley,Computer Science,27
73,1BM20CS073,Lacey Matthews,Computer Science,28
1,1BM20CS001,Sonya Ferrell,Computer Science,29
10,1BM20CS010,Maile Wooten,Computer Science,30
38,1BM20CS038,Isadora Marquez,Computer Science,31
47,1BM20CS047,Stuart Montoya,Computer Science,32
14,1BM20CS014,Adena Keith,Computer Science,33
57,1BM20CS057,Gareth Schmidt,Computer Science,34
52,1BM20CS052,Bethany Acosta,Computer Science,35
43,1BM20CS043,Charles Navarro,Computer Science,36
86,1BM20CS086,Jolene Sandoval,Computer Science,37
40,1BM20CS040,Yeo Duran,Computer Science,38
80,1BM20CS080,Emerson Mcpherson,Computer Science,39
27,1BM20CS027,Odysseus Francis,Computer Science,40
