Numberrange,USN,Name,Branch
83,1BM20AI083,Vivian Vargas,Artificial Intelligence,1
89,1BM20AI089,Ignatius Cummings,Artificial Intelligence,2
18,1BM20AI018,Guy Alford,Artificial Intelligence,3
23,1BM20AI023,Walter Leonard,Artificial Intelligence,4
57,1BM20AI057,Tucker Bartlett,Artificial Intelligence,5
1,1BM20AI001,Shaeleigh Reed,Artificial Intelligence,6
79,1BM20AI079,Jaden Burke,Artificial Intelligence,7
97,1BM20AI097,Clayton Hartman,Artificial Intelligence,8
26,1BM20AI026,Jaime Mckay,Artificial Intelligence,9
48,1BM20AI048,Autumn Landry,Artificial Intelligence,10
47,1BM20AI047,Xavier Jones,Artificial Intelligence,11
61,1BM20AI061,Mariko Head,Artificial Intelligence,12
60,1BM20AI060,Risa Hughes,Artificial Intelligence,13
35,1BM20AI035,Jameson Woodard,Artificial Intelligence,14
93,1BM20AI093,Holly Reyes,Artificial Intelligence,15
77,1BM20AI077,Illiana Walter,Artificial Intelligence,16
42,1BM20AI042,Kelly Pitts,Artificial Intelligence,17
78,1BM20AI078,Olga Franks,Artificial Intelligence,18
72,1BM20AI072,Igor Valentine,Artificial Intelligence,19
54,1BM20AI054,Yvonne Mathis,Artificial Intelligence,20
26,1BM20EC026,Jordan Mitchell,EC,21
47,1BM20EC047,Skyler Cooper,EC,22
30,1BM20EC030,Casey Phillips,EC,23
14,1BM20EC014,Kendall Walker,EC,24
69,1BM20EC069,Skyler Perry,EC,25
53,1BM20EC053,Peyton Peterson,EC,26
56,1BM20EC056,Robin James,EC,27
3,1BM20EC003,Riley Smith,EC,28
13,1BM20EC013,Harper Lee,EC,29
5,1BM20EC005,Taylor Davis,EC,30
37,1BM20EC037,Reagan Sanchez,EC,31
72,1BM20EC072,Avery Patterson,EC,32
81,1BM20EC081,Reagan Alexander,EC,33
50,1BM20EC050,Avery Howard,EC,34
25,1BM20EC025,Skyler Carter,EC,35
86,1BM20EC086,Cameron Myers,EC,36
40,1BM20EC040,Sawyer Reed,EC,37
27,1BM20EC027,Taylor Perez,EC,38
84,1BM20EC084,Sawyer Diaz,EC,39
10,1BM20EC010,Bailey Robinson,EC,40
