Numberrange,USN,Name,Branch
50,1BM20AI050,Basil Vance,Artificial Intelligence,1
49,1BM20AI049,Martina Maddox,Artificial Intelligence,2
55,1BM20AI055,Xenos Craft,Artificial Intelligence,3
34,1BM20AI034,Blossom Finch,Artificial Intelligence,4
5,1BM20AI005,Dalton Hinton,Artificial Intelligence,5
62,1BM20AI062,Kai Doyle,Artificial Intelligence,6
65,1BM20AI065,Malik Cherry,Artificial Intelligence,7
53,1BM20AI053,Timon Gardner,Artificial Intelligence,8
7,1BM20AI007,Kylynn Glenn,Artificial Intelligence,9
68,1BM20AI068,Luke Noble,Artificial Intelligence,10
95,1BM20AI095,Maxwell Roy,Artificial Intelligence,11
45,1BM20AI045,Anne Pope,Artificial Intelligence,12
60,1BM20IS060,Ahmed O'donnell,Information Science,13
31,1BM20AI031,Keith Gallagher,Artificial Intelligence,14
32,1BM20IS032,Cyrus Romero,Information Science,15
51,1BM20IS051,Benedict Joyce,Information Science,16
86,1BM20AI086,Sierra Hendrix,Artificial Intelligence,17
85,1BM20AI085,Fiona Lindsay,Artificial Intelligence,18
51,1BM20AI051,Jamal Wilkerson,Artificial Intelligence,19
43,1BM20AI043,Rigel Kelley,Artificial Intelligence,20
96,1BM20IS096,Oprah Holcomb,Information Science,21
63,1BM20AI063,Fredericka Ellison,Artificial Intelligence,22
56,1BM20IS056,Edan Fischer,Information Science,23
86,1BM20IS086,Jamalia Nixon,Information Science,24
64,1BM20IS064,Sarah Johnson,Information Science,25
77,1BM20IS077,Mallory Vega,Information Science,26
49,1BM20IS049,Moses Casey,Information Science,27
14,1BM20AI014,Raja Benson,Artificial Intelligence,28
75,1BM20AI075,Declan Berger,Artificial Intelligence,29
19,1BM20IS019,Merrill Mcintyre,Information Science,30
57,1BM20IS057,Keegan Moran,Information Science,31
20,1BM20IS020,Hakeem Pope,Information Science,32
43,1BM20IS043,Brett Browning,Information Science,33
10,1BM20IS010,Quynn Adams,Information Science,34
97,1BM20IS097,Inga Austin,Information Science,35
1,1BM20IS001,Richard Ellison,Information Science,36
41,1BM20IS041,Melinda Daugherty,Information Science,37
58,1BM20IS058,Melinda Dominguez,Information Science,38
42,1BM20IS042,Oleg Rhodes,Information Science,39
95,1BM20IS095,Nicole Webster,Information Science,40
