Numberrange,USN,Name,Branch
54,1BM20IS054,Gil Norris,Information Science,1
9,1BM20IS009,Macaulay Kirkland,Information Science,2
18,1BM20IS018,Cooper Mendoza,Information Science,3
89,1BM20IS089,Debra Joseph,Information Science,4
63,1BM20IS063,Dustin Mitchell,Information Science,5
4,1BM20IS004,Acton Foster,Information Science,6
100,1BM20IS100,Nell Mcleod,Information Science,7
47,1BM20IS047,Melinda Atkins,Information Science,8
66,1BM20IS066,Yuli Sanders,Information Science,9
21,1BM20IS021,Alec Kemp,Information Science,10
22,1BM20IS022,Elmo Kramer,Information Science,11
71,1BM20IS071,Christopher Sanford,Information Science,12
99,1BM20IS099,Amber Sheppard,Information Science,13
85,1BM20IS085,Lev Buckner,Information Science,14
5,1BM20IS005,Whitney Juarez,Information Science,15
13,1BM20IS013,Jolene Bush,Information Science,16
26,1BM20IS026,Scott Ware,Information Science,17
15,1BM20IS015,Sylvia Cotton,Information Science,18
53,1BM20IS053,Chadwick Santana,Information Science,19
69,1BM20IS069,Kaye Orr,Information Science,20
62,1BM20EC062,Sawyer Bennett,EC,21
4,1BM20EC004,Jordan Brown,EC,22
67,1BM20EC067,Riley Coleman,EC,23
66,1BM20EC066,Parker Henderson,EC,24
68,1BM20EC068,Dakota Jenkins,EC,25
89,1BM20EC089,Riley Graham,EC,26
8,1BM20EC008,Peyton Garcia,EC,27
82,1BM20EC082,Quinn Russell,EC,28
52,1BM20EC052,Casey Torres,EC,29
6,1BM20EC006,Morgan Wilson,EC,30
80,1BM20EC080,Kendall Bryant,EC,31
71,1BM20EC071,Taylor Long,EC,32
46,1BM20EC046,Dakota Rivera,EC,33
19,1BM20EC019,Rowan Wright,EC,34
55,1BM20EC055,Jamie Ramirez,EC,35
83,1BM20EC083,Finley Griffin,EC,36
76,1BM20EC076,Bailey Butler,EC,37
12,1BM20EC012,Robin Lewis,EC,38
2,1BM20EC002,Avery Johnson,EC,39
1,1BM20EC001,Shaeleigh Reed,EC,40
