Numberrange,USN,Name,Branch
72,1BM20IS072,Ross Gregory,Information Science,1
12,1BM20IS012,Tamekah Ramsey,Information Science,2
98,1BM20IS098,Chase Fitzpatrick,Information Science,3
73,1BM20IS073,Oprah Reyes,Information Science,4
61,1BM20IS061,Trevor Cunningham,Information Science,5
52,1BM20IS052,Jesse Lawrence,Information Science,6
48,1BM20IS048,Isaac Thompson,Information Science,7
70,1BM20IS070,Wyatt Hawkins,Information Science,8
82,1BM20IS082,Rudyard Bass,Information Science,9
81,1BM20IS081,Ross Townsend,Information Science,10
14,1BM20IS014,Gareth Moon,Information Science,11
76,1BM20IS076,Trevor Joyner,Information Science,12
65,1BM20IS065,Velma Alford,Information Science,13
74,1BM20IS074,Blaze Massey,Information Science,14
45,1BM20IS045,Vance Benton,Information Science,15
36,1BM20IS036,Beau Herrera,Information Science,16
68,1BM20IS068,Yael Hall,Information Science,17
44,1BM20IS044,Abra Pena,Information Science,18
28,1BM21CV028,Avery Roberts,Civil,19
4,1BM21CV004,Jordan Brown,Civil,20
17,1BM21CV017,Finley Young,Civil,21
29,1BM20IS029,Aidan Flores,Information Science,22
30,1BM20IS030,Tucker Calderon,Information Science,23
15,1BM21CV015,Reagan Hall,Civil,24
52,1BM21CV052,Casey Torres,Civil,25
33,1BM21CV033,Jamie Evans,Civil,26
1,1BM21CV001,Shaeleigh Reed,Civil,27
26,1BM21CV026,Jordan Mitchell,Civil,28
58,1BM21CV058,Kendall Brooks,Civil,29
61,1BM21CV061,Finley Price,Civil,30
45,1BM21CV045,Riley Bailey,Civil,31
14,1BM21CV014,Kendall Walker,Civil,32
18,1BM21CV018,Sawyer King,Civil,33
13,1BM21CV013,Harper Lee,Civil,34
11,1BM21CV011,Jamie Clark,Civil,35
35,1BM21CV035,Harper Collins,Civil,36
25,1BM21CV025,Skyler Carter,Civil,37
49,1BM21CV049,Taylor Cox,Civil,38
7,1BM21CV007,Casey Thomas,Civil,39
8,1BM21CV008,Peyton Garcia,Civil,40
