Numberrange,USN,Name,Branch
24,1BM20CS024,Myles Lynch,Computer Science,1
11,1BM20CS011,Duncan Moran,Computer Science,2
26,1BM20CS026,Ainsley Lang,Computer Science,3
92,1BM20CS092,Hilda Chapman,Computer Science,4
19,1BM20CS019,Fletcher Pennington,Computer Science,5
55,1BM20CS055,Victor O'Neill,Computer Science,6
90,1BM20CS090,Uriel Sosa,Computer Science,7
48,1BM20CS048,Harding Gay,Computer Science,8
63,1BM20CS063,Vivian Stanton,Computer Science,9
71,1BM20CS071,Leo Browning,Computer Science,10
91,1BM20CS091,Kyle Wiley,Computer Science,11
29,1BM20CS029,Devin Gibbs,Computer Science,12
65,1BM20CS065,Tanya Donovan,Computer Science,13
95,1BM20CS095,Caesar Pearson,Computer Science,14
16,1BM20CS016,Maryam Rice,Computer Science,15
85,1BM20CS085,Malachi Yates,Computer Science,16
36,1BM20CS036,Phyllis Atkins,Computer Science,17
34,1BM20CS034,Adrian Cochran,Computer Science,18
12,1BM20CS012,Shellie Page,Computer Science,19
72,1BM20CS072,Gretchen Keith,Computer Science,20
35,1BM20EC035,Harper Collins,EC,21
70,1BM20EC070,Jordan Powell,EC,22
58,1BM20EC058,Kendall Brooks,EC,23
15,1BM20EC015,Reagan Hall,EC,24
74,1BM20EC074,Casey Flores,EC,25
42,1BM20EC042,Cameron Morgan,EC,26
79,1BM20EC079,Harper Gonzales,EC,27
16,1BM20EC016,Quinn Allen,EC,28
49,1BM20EC049,Taylor Cox,EC,29
11,1BM20IS011,Joy Alvarez,Information Science,30
12,1BM20ME012,Robin Lewis,Mech,31
54,1BM20ME054,Bailey Gray,Mech,32
14,1BM20ME014,Kendall Walker,Mech,33
44,1BM20ME044,Parker Murphy,Mech,34
62,1BM20IS062,Tanner Wooten,Information Science,35
27,1BM20IS027,Yoko Ortega,Information Science,36
76,1BM20ME076,Bailey Butler,Mech,37
83,1BM20IS083,Leslie Hendrix,Information Science,38
84,1BM20IS084,Jada Talley,Information Science,39
33,1BM20AI033,Jelani Rosa,Artificial Intelligence,40
