Numberrange,USN,Name,Branch
52,1BM20AI052,Buckminster Love,Artificial Intelligence,1
71,1BM20AI071,Derek Odom,Artificial Intelligence,2
91,1BM20AI091,Kelsie Marshall,Artificial Intelligence,3
87,1BM20AI087,Lavinia Sandoval,Artificial Intelligence,4
88,1BM20AI088,Zephr Buckner,Artificial Intelligence,5
84,1BM20AI084,Neil Burns,Artificial Intelligence,6
19,1BM20AI019,Nayda Sanders,Artificial Intelligence,7
80,1BM20AI080,Ira Swanson,Artificial Intelligence,8
25,1BM20AI025,Keith Browning,Artificial Intelligence,9
10,1BM20AI010,Debra Kramer,Artificial Intelligence,10
29,1BM20AI029,Jordan Schmidt,Artificial Intelligence,11
32,1BM20AI032,Joshua Cash,Artificial Intelligence,12
38,1BM20AI038,Daniel Bauer,Artificial Intelligence,13
2, 1BM20AI002,Ava Simmons,Artificial Intelligence,14
76,1BM20AI076,Ciara Alexander,Artificial Intelligence,15
98,1BM20AI098,Eaton Jarvis,Artificial Intelligence,16
81,1BM20AI081,Driscoll Gallagher,Artificial Intelligence,17
21,1BM20AI021,Ariel Odom,Artificial Intelligence,18
73,1BM20AI073,Vance Oneil,Artificial Intelligence,19
4,1BM20AI004,Ethan Case,Artificial Intelligence,20
27,1BM20ME027,Taylor Perez,Mech,21
42,1BM20ME042,Cameron Morgan,Mech,22
51,1BM20ME051,Morgan Ward,Mech,23
60,1BM20ME060,Quinn Sanders,Mech,24
17,1BM20ME017,Finley Young,Mech,25
26,1BM20ME026,Jordan Mitchell,Mech,26
61,1BM20ME061,Finley Price,Mech,27
4,1BM20ME004,Jordan Brown,Mech,28
71,1BM20ME071,Taylor Long,Mech,29
37,1BM20ME037,Reagan Sanchez,Mech,30
78,1BM20ME078,Robin Foster,Mech,31
46,1BM20ME046,Dakota Rivera,Mech,32
11,1BM20ME011,Jamie Clark,Mech,33
62,1BM20ME062,Sawyer Bennett,Mech,34
21,1BM20ME021,Casey Adams,Mech,35
7,1BM20ME007,Casey Thomas,Mech,36
63,1BM20ME063,Rowan Wood,Mech,37
91,1BM20ME091,Skyler Wallace,Mech,38
23,1BM20ME023,Riley Gonzalez,Mech,39
70,1BM20ME070,Jordan Powell,Mech,40
