Numberrange,USN,Name,Branch
40,1BM20ME040,Sawyer Reed,Mech,1
32,1BM20ME032,Bailey Parker,Mech,2
48,1BM20EC048,Jordan Richardson,EC,3
85,1BM20ME085,Rowan Hayes,Mech,4
93,1BM20ME093,Taylor West,Mech,5
20,1BM20ME020,Cameron Green,Mech,6
59,1BM20EC059,Reagan Kelly,EC,7
51,1BM20EC051,Morgan Ward,EC,8
18,1BM20ME018,Sawyer King,Mech,9
24,1BM20EC024,Dakota Nelson,EC,10
67,1BM20ME067,Riley Coleman,Mech,11
77,1BM20EC077,Jamie Simmons,EC,12
68,1BM20ME068,Dakota Jenkins,Mech,13
61,1BM20EC061,Finley Price,EC,14
28,1BM20EC028,Avery Roberts,EC,15
88,1BM20EC088,Parker Hamilton,EC,16
23,1BM20EC023,Riley Gonzalez,EC,17
36,1BM20EC036,Kendall Stewart,EC,18
45,1BM20ME045,Riley Bailey,Mech,19
2,1BM20ME002,Avery Johnson,Mech,20
43,1BM20ME043,Casey Bell,Mech,21
9,1BM20ME009,Dakota Martinez,Mech,22
90,1BM20ME090,Dakota Sullivan,Mech,23
45,1BM20EC045,Riley Bailey,EC,24
33,1BM20EC033,Jamie Evans,EC,25
10,1BM20ME010,Bailey Robinson,Mech,26
66,1BM20ME066,Parker Henderson,Mech,27
32,1BM20EC032,Bailey Parker,EC,28
29,1BM20EC029,Morgan Turner,EC,29
35,1BM20ME035,Harper Collins,Mech,30
92,1BM20ME092,Jordan Woods,Mech,31
13,1BM20ME013,Harper Lee,Mech,32
50,1BM20ME050,Avery Howard,Mech,33
24,1BM20ME024,Dakota Nelson,Mech,34
43,1BM20EC043,Casey Bell,EC,35
18,1BM20EC018,Sawyer King,EC,36
31,1BM20EC031,Peyton Campbell,EC,37
57,1BM20EC057,Harper Watson,EC,38
75,1BM20EC075,Peyton Washington,EC,39
17,1BM20EC017,Finley Young,EC,40
